"","ctx-rh-bankssts","ctx-rh-caudalanteriorcingulate","ctx-rh-caudalmiddlefrontal","ctx-rh-cuneus","ctx-rh-entorhinal","ctx-rh-fusiform","ctx-rh-inferiorparietal","ctx-rh-inferiortemporal","ctx-rh-isthmuscingulate","ctx-rh-lateraloccipital","ctx-rh-lateralorbitofrontal","ctx-rh-lingual","ctx-rh-medialorbitofrontal","ctx-rh-middletemporal","ctx-rh-parahippocampal","ctx-rh-paracentral","ctx-rh-parsopercularis","ctx-rh-parsorbitalis","ctx-rh-parstriangularis","ctx-rh-pericalcarine","ctx-rh-postcentral","ctx-rh-posteriorcingulate","ctx-rh-precentral","ctx-rh-precuneus","ctx-rh-rostralanteriorcingulate","ctx-rh-rostralmiddlefrontal","ctx-rh-superiorfrontal","ctx-rh-superiorparietal","ctx-rh-superiortemporal","ctx-rh-supramarginal","ctx-rh-frontalpole","ctx-rh-temporalpole","ctx-rh-transversetemporal","ctx-rh-insula"
"ctx-rh-precuneus",105.851887064928,44.455992659184,70.257142186454,0.217301163165844,45.7777944766933,44.4656803754718,35.1490378975626,61.5862225545521,0.14389951315427,29.5779345473606,87.830837434294,0.312490085245976,103.24499533724,93.5834507111208,13.5033025527715,0.236356361852531,112.823010404071,116.530040140711,120.57035900378,0.21642600275595,0.592343220086986,0.332167390355519,12.802453475545,0,78.9102617873815,101.624236437463,32.9356066126703,0.24912451146362,84.1514162006214,51.9641118894614,135.721472870692,72.9186299009759,121.169014439515,77.8709157964125
"ctx-rh-rostralanteriorcingulate",119.34514876372,0.0984654550696618,56.6965742996608,115.245148170339,44.7072700486535,57.4375341808736,133.218279467185,58.8705555939127,67.5216688249853,146.422238689348,14.8018058934917,103.876813628077,0.272300122664834,69.6139158460372,75.2798990391058,57.9375607971618,72.4471978389497,52.1138886974383,63.4706655334038,115.323198766216,77.7249946982073,33.0591997742238,76.43944593673,78.9102617873815,0,40.1591043946606,0.244875842811974,110.63917179267,42.6100175381648,89.1489485893454,28.535369266475,40.9763265037753,73.7105023857156,29.7836464064719
"ctx-rh-rostralmiddlefrontal",134.986771697275,47.0863275842903,0.253097160018757,149.975507150673,70.0089670568543,82.0823246626582,126.637052823557,83.5000892719453,102.324706751769,171.06991230055,0.250685598811861,129.072681236979,13.1680022347201,93.6903406521656,100.475766648007,67.4644219452457,0.274428947885677,0.354068086250116,0.131702860663036,150.053557746549,47.6121864743394,57.985870265554,6.5103022284909,101.624236437463,40.1591043946606,0,0.235100768188085,103.565918931302,64.9237262992608,70.4557952362765,0.296233755589964,65.1398403418944,89.525354780385,46.0878178969629
"ctx-rh-superiorfrontal",134.632277811627,0.130968778897603,0.179354668050865,78.9537052499944,77.6564350620312,90.3866991942513,99.7298579818751,91.8197206072904,31.8800667735907,127.121895589659,24.5020300117895,74.1434488276196,0.149214726932884,102.56121210125,73.5417108975786,0.340674910847162,45.263741975281,35.1204652902339,43.3815270354785,79.0317558458712,22.3564997880271,0.182330109901915,0.11195784353039,32.9356066126703,0.244875842811974,0.235100768188085,0,36.1989442646589,75.5573137933772,77.6504522312912,0.777858168743135,73.9236227589878,106.652820104678,62.7259641254341
"ctx-rh-superiorparietal",53.6801300890833,69.8610018865956,72.1988246802933,0.545910740878175,92.9069363753992,74.3862350295479,0.186334651249115,76.1869676215796,37.8806488056973,0.189144689489482,126.291554018926,33.6950341800283,138.76454734415,59.3541394455565,61.9072997946537,3.14432739693381,93.4909972496099,138.062193344329,112.858367108954,21.5417220699695,0.224452113546019,33.53096606465,14.7222845397435,0.24912451146362,110.63917179267,103.565918931302,36.1989442646588,0,50.4138572751097,0.314495602194766,160.771367719637,120.047771799682,69.3267754375043,72.2077063440861
"ctx-rh-superiortemporal",0.401176536502677,75.0313583592721,99.4632741700673,98.2746949076227,11.3314901296454,19.2538893921063,7.90614179257356,16.6059735744065,68.3600022871006,60.8331693535784,11.029552060779,67.7776683417735,25.691479402385,0.167556865341198,39.1807537528022,105.743071678902,34.924767403415,34.0855998242726,35.9235362063794,97.3787130219456,20.0143108031937,108.96068842914,30.0263213274315,84.1514162006214,42.6100175381648,64.9237262992607,75.5573137933772,50.4138572751098,0,0.377728770869012,74.7643931052733,0.491611378544193,0.1658328141118,0.0985163714169294
"ctx-rh-supramarginal",0.408910794919077,115.242578903949,70.4489329177167,90.7951398563786,63.7335047440994,74.3697315850198,0.232807591185727,64.1421641165756,94.7156137660058,67.297968692604,49.9641909424989,121.925883874517,72.3236032697632,30.3415687924734,93.3289692855455,53.4847307889684,29.5058892147004,61.0527704000542,45.6137721853088,117.531413423244,0.187036518868368,85.2751882485451,16.5027978274401,51.9641118894614,89.1489485893454,70.4557952362765,77.6504522312912,0.314495602194766,0.377728770869012,0,118.804888649213,56.5294449235073,0.595765451589838,0.226896529618085
"ctx-rh-frontalpole",150.066427452552,51.8910075817413,85.9497590997436,169.320445631739,79.7597048857654,91.8330624915694,163.939558156017,93.2508271008565,124.413947153886,180.820650129461,0.460553571296895,138.82341906589,0.267844489865031,103.441078481077,110.226504476918,109.722224930437,85.3130433046309,16.2881204161068,48.8843443840478,168.424463746062,107.380031843383,90.0525344427176,104.646464258171,135.721472870692,28.535369266475,0.296233755589964,0.777858168743135,160.771367719637,74.7643931052733,118.804888649213,0,74.8905781708056,104.431688250721,60.7411213160664
"ctx-rh-temporalpole",82.3531337467859,73.3976673248827,107.37040947149,87.0419086079771,0.405474436405252,0.250990432292987,97.1110198097315,0.248666392290213,57.1272159874551,89.1592429135421,8.87794791325506,56.544882042128,24.0577883679955,0.497051423235946,27.322582787822,118.242484177887,43.368823452536,36.0805216944194,39.8876888202761,86.1459267223001,45.1963922228902,97.727902129494,44.9834814858566,72.9186299009759,40.9763265037753,65.1398403418944,73.9236227589877,120.047771799682,0.491611378544192,56.5294449235073,74.8905781708056,0,39.3988276296579,0.537338847029122
"ctx-rh-transversetemporal",38.0993252629272,106.131843206823,93.8275659586507,135.292293146517,46.797551033664,57.2391142911704,47.698666233138,58.56832504406,105.377600525995,104.038053426183,41.3213594834885,104.795266580667,56.8686064693776,30.809528470099,76.1983519916962,120.235146581551,38.1765752609573,62.8182878219996,54.2680830363552,134.39631126084,12.7404925956819,140.859137092997,27.3991883130088,121.169014439515,73.7105023857156,89.525354780385,106.652820104678,69.3267754375043,0.1658328141118,0.595765451589838,104.431688250721,39.398827629658,0,0.207810687878552
"ctx-rh-insula",46.95613528236,62.2049872275793,64.2338002406682,91.9941945034138,3.56230537329686,14.6910952764352,55.3153851811283,16.1241166894743,62.0795018828917,103.67579978491,0.144483876917037,61.4971679375646,12.9335159049913,26.9799607552239,32.9002533485933,119.695295831808,0.105600417255932,6.31008855891127,0.258802070254215,91.0982126177367,0.29741080820796,96.9322811137533,0.207336435122646,77.8709157964125,29.7836464064719,46.0878178969629,62.7259641254341,72.2077063440861,0.0985163714169292,0.226896529618085,60.7411213160664,0.537338847029122,0.207810687878552,0
